Date,BND,DBC,DIA,EEB,EFA,EPP,EWC,EWZ,FBT,FXI,FXY,IEF,IHE,ILF,INP,MDY,MYY,SHY,SPY,TLT,UUP,VDC,VNQ,VWO
2007-11-01 00:00:00+00:00,62.83,28.93,117.36,48.93,71.7,47.03,31.82,68.79,25.35,62.43,87.35,72.14,50.08,44.8,87.8,151.76,56.93,75.67,134.15,74.01,23.63,60.73,54.02,48.81
2007-11-02 00:00:00+00:00,62.91,29.55,117.53,49.25,72.1,47.45,32.53,68.8,25.43,62.36,87.18,72.34,49.96,44.73,91.7,151.82,57.02,75.76,134.3,74.24,23.4,60.97,53.25,49.07
2007-11-05 00:00:00+00:00,62.72,29.36,116.81,46.76,70.95,46.06,32.29,67.36,25.1,56.88,87.4,72.25,49.8,43.7,88,150.1,57.45,75.75,133.28,74.21,23.52,60.96,52.48,47.89
2007-11-06 00:00:00+00:00,62.63,30.13,117.93,48.41,72.03,47.27,32.99,70.29,25.33,59.41,87.22,72.12,50.07,45.13,91,152.37,56.74,75.71,135.07,73.85,23.44,61.41,53.15,49.35
2007-11-07 00:00:00+00:00,62.72,29.97,115.2,46.61,70.78,46.29,32.2,67.7,24.64,56.58,88.68,72.39,49.15,43.42,88.93,149.43,57.95,75.92,131.38,73.98,23.33,60.54,51.49,47.47
2007-11-08 00:00:00+00:00,62.79,29.9,114.42,47.73,70.9,46.28,31.7,71.24,25,55.27,88.66,72.55,49.21,44.6,86.6,149.24,57.86,76.04,130.71,73.85,23.31,61.16,51.65,47.9
2007-11-09 00:00:00+00:00,62.87,29.89,112.58,46.12,69.53,45.21,31.01,68.85,24.67,54.54,90.3,72.98,49.18,43.49,81.8,147.19,58.67,76.07,128.92,74.48,23.31,60.68,51.23,46.87
2007-11-12 00:00:00+00:00,63.01,29.23,112.11,42.61,68.39,43.34,29.59,62.89,24.73,50.79,91.07,73.11,49.34,40.45,78.8,144.63,59.64,76.25,127.64,74.75,23.52,60.65,51.82,44.36
2007-11-13 00:00:00+00:00,62.82,28.68,115.02,46.1,70.22,45.63,30.31,68.28,24.88,54.57,90,72.73,49.43,43.57,84,148.31,58.39,76.01,131.53,74.47,23.43,61.7,53.53,47.37
2007-11-14 00:00:00+00:00,62.82,29.32,114.65,46.62,70.11,45.44,30.13,69.34,24.95,56.24,89.61,72.79,49.62,43.93,85.95,148.4,58.53,76.05,131.16,74.55,23.44,61.72,52.45,47.58
2007-11-15 00:00:00+00:00,63.05,29.03,113.58,45.49,68.96,44.19,28.9,67.27,24.88,54.36,90.54,73.19,49.35,42.84,83.94,146.01,59.28,76.3,129.27,75.26,23.5,61.52,52.35,46.51
